UserID,FirstName,LastName,Email,Tagline,Location,UserType,Team
0,Carl,Harry,CarlKHarry@cuvox.de,"Vivamus sagittis massa et turpis elementum, nec dictum augue sodales.","Santa Ana, CA",0,
1,Joseph,Weller,JosephMWeller@teleworm.us,Nam vel est a nibh dictum eleifend.,"Tacoma, WA",0,
2,Louann,Figueroa,LouannTFigueroa@superrito.com,Donec ac porta turpis.,"Indianapolis, IN",0,96
3,Marlene,Miller,MarleneBMiller@gustr.com,Donec quis tincidunt neque.,"Mchenry, ND",1,
4,Edna,Holley,EdnaJHolley@einrot.com,In hac habitasse platea dictumst.,"South Bend, IN",0,91
5,Marjorie,Roberts,MarjorieDRoberts@dayrep.com,Praesent eu hendrerit justo.,"Owatonna, MN",0,
6,Judy,Prosperie,JudyAProsperie@gustr.com,Etiam dignissim pharetra commodo.,"Queens, NY",0,3
7,Todd,Hagen,ToddAHagen@fleckens.hu,Sed sagittis sem non odio condimentum vulputate vel ut risus.,"Fort Washington, PA",0,
8,Eloise,Tovar,EloiseMTovar@rhyta.com,Vestibulum quis massa eros.,"Richmond, VA",0,
9,Christopher,Sanders,ChristopherVSanders@cuvox.de,Integer euismod in magna in auctor.,"Metropolis, IL",0,
10,Sharon,Edgar,SharonREdgar@jourrapide.com,Etiam malesuada rhoncus condimentum.,"Nashville, TN",0,
11,Joseph,Carter,JosephACarter@armyspy.com,Quisque consequat elementum malesuada.,"Capac, MI",1,
12,Steven,Duncan,StevenDDuncan@teleworm.us,Cras id diam tortor.,"Pittston, PA",0,
13,Michele,Edwards,MicheleMEdwards@superrito.com,Donec eget odio lectus.,"Braintree, MA",0,
14,Francisco,Nellis,FranciscoBNellis@rhyta.com,"Duis nisl nisl, rutrum ac interdum ut, egestas ac purus.","Lafayette, LA",0,65
15,Julie,Clawson,JulieRClawson@dayrep.com,Interdum et malesuada fames ac ante ipsum primis in faucibus.,"Boston, MA",0,3
16,Maria,Bennett,MariaKBennett@superrito.com,Donec feugiat lobortis sem sit amet fringilla.,"Fair Oaks, CA",0,
